edge_id,lat,lng,queue_len,type
78,31.233011,121.523809,1,1.0
79,31.228627,121.480756,17,2.0
80,31.242584,121.449606,2,1.0
81,31.230395,121.46599,30,3.0
82,31.241014,121.48529,27,3.0
83,31.239454,121.46057,7,1.0
84,31.233674,121.498294,38,3.0
85,31.235982,121.466191,2,1.0
86,31.223367,121.46595,1,1.0
87,31.236177,121.493181,5,1.0
88,31.235177,121.451385,1,1.0
89,31.255256,121.500499,2,1.0
90,31.197512,121.470198,1,1.0
91,31.234238,121.521932,1,1.0
92,31.299799,121.530915,2,1.0
93,31.246573,121.495702,1,1.0
94,31.229057,121.452254,5,1.0
95,31.279562,121.467095,4,1.0
96,31.159523,121.435774,13,2.0
97,31.262045,121.446891,1,1.0
98,31.230363,121.5056,4,1.0
99,31.263495,121.496653,4,1.0
100,31.260348,121.542138,1,1.0
101,31.262331,121.563212,1,1.0
102,31.227544,121.537532,1,1.0
103,31.187859,121.444801,4,1.0
104,31.203194,121.46865,1,1.0
105,31.237596,121.488614,1,1.0
106,31.2419,121.506952,4,1.0
107,31.275801,121.484797,1,1.0
108,31.261655,121.474716,3,1.0
109,31.258656,121.472538,3,1.0
110,31.248715,121.481228,16,2.0
111,31.225269,121.491889,4,1.0
112,31.218022,121.504024,8,1.0
113,31.188514,121.49841,6,1.0
114,31.178033,121.487803,3,1.0
115,31.09599,121.238111,1,1.0
116,31.244292,121.495265,14,2.0
117,31.242132,121.488632,1,1.0
118,31.241594,121.48526,1,1.0
119,31.240686,121.480699,6,1.0
120,31.16807,121.488657,1,1.0
121,31.150587,121.499019,1,1.0
122,31.116086,121.488253,6,1.0
123,31.230277,121.448573,2,1.0
124,31.241223,121.45891,3,1.0
125,31.224758,121.446392,3,1.0
126,31.239149,121.488022,6,1.0
127,31.228927,121.486896,5,1.0
128,31.240412,121.45723,3,1.0
129,31.225266,121.444323,25,3.0
130,31.227165,121.480195,30,3.0
131,31.237221,121.467334,6,1.0
132,31.240869,121.481603,23,3.0
133,31.223665,121.458791,27,3.0
134,31.217372,121.460724,32,3.0
135,31.250734,121.487731,10,2.0
136,31.231585,121.517218,7,1.0
137,31.243738,121.486223,3,1.0
138,31.238561,121.455041,2,1.0
139,31.227762,121.495598,4,1.0
140,31.242296,121.490613,1,1.0
141,31.233644,121.525549,1,1.0
142,31.251584,121.4917,26,3.0
143,31.230748,121.485488,6,1.0
144,31.241188,121.483341,2,1.0
145,31.231401,121.497622,2,1.0
146,31.245242,121.479617,13,2.0
147,31.206958,121.591146,2,1.0
148,31.180043,121.609028,1,1.0
149,31.214719,121.624972,1,1.0
150,31.154675,121.81374,2,1.0
151,31.215428,121.660427,1,1.0
152,31.239615,121.489026,2,1.0
153,31.246109,121.496577,1,1.0
